grafana-1  | logger=settings t=2026-02-23T13:04:54.196420147Z level=info msg="Starting Grafana" version=12.3.3 commit=2a14494b2d6ab60f860d8b27603d0ccb264336f6 branch=release-12.3.3 compiled=2026-02-23T13:04:54Z
grafana-1  | logger=settings t=2026-02-23T13:04:54.20143048Z level=info msg="Config loaded from" file=/usr/share/grafana/conf/defaults.ini
grafana-1  | logger=settings t=2026-02-23T13:04:54.201495457Z level=info msg="Config loaded from" file=/etc/grafana/grafana.ini
grafana-1  | logger=settings t=2026-02-23T13:04:54.201502965Z level=info msg="Config overridden from command line" arg="default.paths.data=/var/lib/grafana"
grafana-1  | logger=settings t=2026-02-23T13:04:54.201507606Z level=info msg="Config overridden from command line" arg="default.paths.logs=/var/log/grafana"
grafana-1  | logger=settings t=2026-02-23T13:04:54.20151185Z level=info msg="Config overridden from command line" arg="default.paths.plugins=/var/lib/grafana/plugins"
grafana-1  | logger=settings t=2026-02-23T13:04:54.20151594Z level=info msg="Config overridden from command line" arg="default.paths.provisioning=/etc/grafana/provisioning"
grafana-1  | logger=settings t=2026-02-23T13:04:54.201519816Z level=info msg="Config overridden from command line" arg="default.log.mode=console"
grafana-1  | logger=settings t=2026-02-23T13:04:54.20152459Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_DATA=/var/lib/grafana"
grafana-1  | logger=settings t=2026-02-23T13:04:54.201529619Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_LOGS=/var/log/grafana"
grafana-1  | logger=settings t=2026-02-23T13:04:54.201533312Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PLUGINS=/var/lib/grafana/plugins"
grafana-1  | logger=settings t=2026-02-23T13:04:54.2015373Z level=info msg="Config overridden from Environment variable" var="GF_PATHS_PROVISIONING=/etc/grafana/provisioning"
grafana-1  | logger=settings t=2026-02-23T13:04:54.201542053Z level=info msg=Target target=[all]
grafana-1  | logger=settings t=2026-02-23T13:04:54.201575419Z level=info msg="Path Home" path=/usr/share/grafana
grafana-1  | logger=settings t=2026-02-23T13:04:54.20157951Z level=info msg="Path Data" path=/var/lib/grafana
grafana-1  | logger=settings t=2026-02-23T13:04:54.201583223Z level=info msg="Path Logs" path=/var/log/grafana
grafana-1  | logger=settings t=2026-02-23T13:04:54.201587946Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
grafana-1  | logger=settings t=2026-02-23T13:04:54.201593974Z level=info msg="Path Provisioning" path=/etc/grafana/provisioning
grafana-1  | logger=settings t=2026-02-23T13:04:54.201600758Z level=info msg="App mode production"
